implementation,batch_size,seq_len,d_model,dtype,causal,forward_mean_ms,forward_std_ms,backward_mean_ms,backward_std_ms,forward_peak_gib,backward_peak_gib,status,error,run_id,domain
torch,2,128,64,float32,False,0.1588352497492451,0.0730242673619318,0.5241620001470437,0.0949168306222362,0.00848388671875,0.0167236328125,ok,,flash-attention_flash-pytorch-reference_impl-torch-flash_pytorch-flash_triton_b2_seq128-1024_d64_float32_noncausal_cuda_3db10bb4_20260514-220024,attention
flash_pytorch,2,128,64,float32,False,3.126995250113396,0.2456647437639394,8.82806149957105,1.3954061242212403,0.016268253326416,0.0164813995361328,ok,,flash-attention_flash-pytorch-reference_impl-torch-flash_pytorch-flash_triton_b2_seq128-1024_d64_float32_noncausal_cuda_3db10bb4_20260514-220024,attention
flash_triton,2,128,64,float32,False,0.0601335000283143,0.0027648826664631,0.4536808755801758,0.0307954379985979,0.0161752700805664,0.0479145050048828,ok,,flash-attention_flash-pytorch-reference_impl-torch-flash_pytorch-flash_triton_b2_seq128-1024_d64_float32_noncausal_cuda_3db10bb4_20260514-220024,attention
torch,2,256,64,float32,False,0.1253572509085643,0.0116107428621558,0.4265633751856512,0.0237519432991945,0.0174560546875,0.0185546875,ok,,flash-attention_flash-pytorch-reference_impl-torch-flash_pytorch-flash_triton_b2_seq128-1024_d64_float32_noncausal_cuda_3db10bb4_20260514-220024,attention
flash_pytorch,2,256,64,float32,False,13.754919000348307,0.8029709930466726,21.022080874899984,3.696615689941484,0.0165743827819824,0.0170021057128906,ok,,flash-attention_flash-pytorch-reference_impl-torch-flash_pytorch-flash_triton_b2_seq128-1024_d64_float32_noncausal_cuda_3db10bb4_20260514-220024,attention
flash_triton,2,256,64,float32,False,0.0742513748264173,0.0103427207360449,0.4590521248246659,0.0374975659057852,0.0164813995361328,0.0496864318847656,ok,,flash-attention_flash-pytorch-reference_impl-torch-flash_pytorch-flash_triton_b2_seq128-1024_d64_float32_noncausal_cuda_3db10bb4_20260514-220024,attention
torch,2,512,64,float32,False,0.1897847500913485,0.1049293698626314,0.445927625605691,0.0163010093165126,0.02099609375,0.025146484375,ok,,flash-attention_flash-pytorch-reference_impl-torch-flash_pytorch-flash_triton_b2_seq128-1024_d64_float32_noncausal_cuda_3db10bb4_20260514-220024,attention
flash_pytorch,2,512,64,float32,False,59.875400625514885,9.468067793556523,137.42976662479123,41.32601582606264,0.0171866416931152,0.0180435180664062,ok,,flash-attention_flash-pytorch-reference_impl-torch-flash_pytorch-flash_triton_b2_seq128-1024_d64_float32_noncausal_cuda_3db10bb4_20260514-220024,attention
flash_triton,2,512,64,float32,False,0.100329124052223,0.0037088221545661,0.5338086243682483,0.062189713909732,0.0170936584472656,0.0229568481445312,ok,,flash-attention_flash-pytorch-reference_impl-torch-flash_pytorch-flash_triton_b2_seq128-1024_d64_float32_noncausal_cuda_3db10bb4_20260514-220024,attention
torch,2,1024,64,float32,False,0.2647607502694882,0.0045274343563416,0.8581583751947619,0.0495367110596176,0.033935546875,0.050048828125,ok,,flash-attention_flash-pytorch-reference_impl-torch-flash_pytorch-flash_triton_b2_seq128-1024_d64_float32_noncausal_cuda_3db10bb4_20260514-220024,attention
flash_pytorch,2,1024,64,float32,False,232.4156954996397,28.601608636695524,416.5768611251224,112.38294883424028,0.0184111595153808,0.0201263427734375,ok,,flash-attention_flash-pytorch-reference_impl-torch-flash_pytorch-flash_triton_b2_seq128-1024_d64_float32_noncausal_cuda_3db10bb4_20260514-220024,attention
flash_triton,2,1024,64,float32,False,0.2491292498234543,0.1188639299459969,0.871231374276249,0.1236708198207819,0.0183181762695312,0.0417633056640625,ok,,flash-attention_flash-pytorch-reference_impl-torch-flash_pytorch-flash_triton_b2_seq128-1024_d64_float32_noncausal_cuda_3db10bb4_20260514-220024,attention
torch,2,128,32,float32,False,0.1385944997309707,0.0567140086211844,0.5316604992913199,0.1831063796317069,0.008331298828125,0.01654052734375,ok,,flash-attention_flash-pytorch-small_impl-torch-flash_pytorch-flash_triton_b2_seq128-512_d32-64_float32_noncausal_cuda_3db10bb4_20260514-213506,attention
flash_pytorch,2,128,32,float32,False,5.64989787471859,1.0216835197867835,6.739520124938281,1.129479123527754,0.0160927772521972,0.0162215232849121,ok,,flash-attention_flash-pytorch-small_impl-torch-flash_pytorch-flash_triton_b2_seq128-512_d32-64_float32_noncausal_cuda_3db10bb4_20260514-213506,attention
flash_triton,2,128,32,float32,False,0.105603874544613,0.0141794219793538,0.5043027495048591,0.0591426098786864,0.0160226821899414,0.0163898468017578,ok,,flash-attention_flash-pytorch-small_impl-torch-flash_pytorch-flash_triton_b2_seq128-512_d32-64_float32_noncausal_cuda_3db10bb4_20260514-213506,attention
